year;female;male;white;asian_or_Pacific_Islander_AGG;black_or_African_American;hispanic_or_Latino;native_American;more_races;other_or_unknown;temporary_resident;asian;asian_or_Pacific_Islander;native_Hawaiian_or_Other_Pacific_Islander
1997;11471;50885;41670;7085;3077;4125;263;na;1339;4797;na;7085;na
1998;11341;49584;40583;7002;3020;4125;254;na;1297;4644;na;7002;na
1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;12206;47281;39025;6850;3069;4075;326;na;1610;4532;na;6850;na
2001;11912;47302;38723;7025;2892;4015;256;na;1884;4419;na;7025;na
2002;12682;47923;39693;7120;2982;4136;308;na;2100;4266;na;7120;na
2003;12980;50809;41820;7413;3092;4358;320;na;2509;4277;na;7413;na
2004;13263;51417;41838;7628;3227;4483;333;na;2621;4550;na;7628;na
2005;13203;52949;42191;8211;3206;4628;349;na;2827;4740;na;8211;na
2006;13338;54889;43526;8551;3209;4928;353;na;2949;4711;na;8551;na
2007;12653;55621;43980;8466;3164;4962;305;na;3008;4389;na;8466;na
2008;12921;56987;45383;8343;3101;5234;344;na;3323;4180;na;8343;na
2009;12750;57850;45647;8266;3096;5577;347;na;3596;4071;na;8266;na
2010;13693;60706;47977;8405;3082;5948;366;na;4119;4502;na;8405;na
2011;14658;63441;49401;8775;3097;6317;322;888;4048;5251;8658;na;117
2012;15981;67282;52352;9243;3218;7173;309;1125;3512;6331;9081;na;162
2013;16934;70878;54344;10134;3505;7907;356;1422;3397;6747;9947;na;187
2014;18626;75324;57811;10261;3599;8984;320;2116;3303;7556;10078;na;183
2015;20057;79849;60596;10875;3852;9960;316;2707;3045;8555;10734;na;141
2016;22794;86182;64576;11981;4206;11337;314;3323;3122;10117;11821;na;160
