occupation;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Management, business, and financial operations occupations;12530000;12376000;11988000;12026000;12642000;12812000;12890000;13557000;13815000;13979000
Architect;170000;153000;140000;140000;149000;138000;142000;143000;182000;189000
Biological or life scientist;159000;169000;167000;179000;175000;169000;170000;153000;174000;161000
Chemist;69000;85000;72000;47000;58000;68000;77000;63000;58000;60000
Dietitian;12000;16000;8000;11000;6000;11000;8000;11000;13000;8000
Economist and market and survey researcher;74000;85000;85000;95000;121000;110000;124000;126000;158000;158000
Engineer;1764000;1643000;1625000;1731000;1768000;1789000;1729000;1813000;1975000;2012000
Engineering and related technologist or technician;577000;468000;492000;492000;527000;471000;452000;476000;475000;466000
Health technologist or technician;524000;567000;585000;603000;546000;561000;644000;638000;672000;732000
Lawyer or judge;689000;735000;748000;792000;782000;781000;768000;795000;763000;772000
Mathematical or computer scientist;2752000;2620000;2640000;2714000;2783000;2935000;3173000;3291000;3359000;3552000
Pharmacist;121000;140000;127000;113000;133000;127000;126000;117000;127000;141000
Physician;601000;620000;599000;545000;604000;600000;640000;629000;654000;640000
Physicians' assistant;37000;37000;32000;26000;32000;43000;25000;20000;27000;34000
Psychologist;59000;53000;58000;53000;48000;50000;58000;58000;60000;58000
Registered nurse;226000;224000;236000;232000;266000;287000;276000;306000;320000;330000
Science technician;147000;137000;149000;151000;165000;161000;179000;194000;181000;174000
Teacher, except postsecondary (college and university);1402000;1348000;1413000;1372000;1387000;1419000;1396000;1479000;1485000;1487000
Teacher, postsecondary (college and university);661000;659000;709000;715000;689000;671000;635000;707000;739000;757000
Therapist;128000;158000;164000;179000;142000;191000;188000;173000;181000;173000
Other health care professional;229000;220000;240000;283000;266000;264000;280000;273000;228000;220000
Other natural scientist;163000;168000;176000;181000;218000;191000;195000;223000;231000;234000
Other social scientist or urban planner;38000;30000;34000;34000;46000;43000;47000;40000;51000;49000
Other professional or related occupation;2697000;2652000;2634000;2631000;2621000;2758000;2748000;2852000;2800000;2991000
Other occupations;51659000;48308000;48238000;48943000;49382000;49703000;50720000;50991000;51842000;52025000
