indent;over_occupation;occupation;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
2;Management, professional, and related occupations;Management, business, and financial operations occupations;9395000;9204000;8950000;9149000;9758000;9814000;9953000;10270000;10720000;10963000
3;Professional and related occupations;Architect;54000;55000;49000;36000;44000;46000;46000;48000;55000;79000
3;Professional and related occupations;Biological or life scientist;141000;162000;141000;160000;129000;160000;136000;148000;130000;172000
3;Professional and related occupations;Chemist;39000;32000;34000;40000;44000;45000;29000;34000;38000;41000
3;Professional and related occupations;Dietitian;95000;82000;102000;92000;103000;96000;109000;109000;105000;109000
3;Professional and related occupations;Economist and market and survey researcher;85000;71000;96000;126000;120000;154000;194000;165000;178000;203000
3;Professional and related occupations;Engineer;211000;198000;193000;246000;228000;229000;268000;262000;268000;324000
3;Professional and related occupations;Engineering and related technologist or technician;112000;116000;88000;94000;87000;96000;103000;114000;100000;109000
3;Professional and related occupations;Health technologist or technician;1771000;1904000;1924000;1902000;1869000;1990000;2049000;2206000;2181000;2127000
3;Professional and related occupations;Lawyer or judge;369000;368000;357000;385000;353000;374000;403000;432000;420000;450000
3;Professional and related occupations;Mathematical or computer scientist;929000;869000;909000;875000;977000;1029000;1080000;1092000;1151000;1221000
3;Professional and related occupations;Pharmacist;133000;129000;133000;149000;152000;155000;158000;154000;183000;203000
3;Professional and related occupations;Physician;261000;290000;278000;283000;315000;326000;373000;380000;413000;430000
3;Professional and related occupations;Physicians' assistant;70000;51000;72000;69000;74000;85000;65000;59000;60000;79000
3;Professional and related occupations;Psychologist;114000;112000;128000;139000;127000;138000;161000;147000;114000;127000
3;Professional and related occupations;Registered nurse;2518000;2576000;2600000;2494000;2557000;2565000;2607000;2622000;2770000;2792000
3;Professional and related occupations;Science technician;112000;132000;131000;113000;138000;117000;122000;167000;126000;141000
3;Professional and related occupations;Teacher, except postsecondary (college and university);4602000;4492000;4507000;4498000;4463000;4542000;4604000;4778000;4705000;4820000
3;Professional and related occupations;Teacher, postsecondary (college and university);563000;652000;601000;621000;643000;654000;620000;612000;685000;661000
3;Professional and related occupations;Therapist;536000;518000;558000;597000;601000;557000;642000;714000;724000;713000
3;Professional and related occupations;Other health care professional;96000;128000;131000;228000;221000;266000;292000;317000;362000;356000
3;Professional and related occupations;Other natural scientist;87000;78000;88000;98000;89000;80000;96000;118000;149000;184000
3;Professional and related occupations;Other social scientist or urban planner;35000;33000;42000;54000;54000;40000;33000;32000;37000;31000
3;Professional and related occupations;Other professional or related occupation;4476000;4434000;4491000;4425000;4511000;4528000;4716000;4884000;4891000;5008000
1;all occupations;Other occupations;41069000;39523000;39102000;38709000;39256000;39489000;39756000;39841000;40301000;40593000
